country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,18.2,18.2,19.7,21.3,22.8,24.4,25.9,27.5,29,30.6,32.1,33.7,35.2,36.8,38.3,39.9,41.4,43,44.5,46.1,47.6,49.2,50.7
Angola,7.53,8.45,9.38,10.3,11.2,12.1,13.1,14,14.9,15.8,16.8,17.7,18.6,19.5,20.5,21.4,22.3,23.2,24.2,24.2,24.2,24.2,24.2
Albania,84.2,84.9,85.7,86.4,87.2,88,88.8,89.7,90.5,91.3,92.2,93,93.8,94.7,95.5,96.4,97.2,98,98.9,99.2,99.3,99.3,99.3
Andorra,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
UAE,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Argentina,68.7,69.4,70.1,70.7,71.4,72.1,72.7,73.4,74.1,74.8,75.4,76.1,76.8,76.8,76.8,76.8,76.8,,,,,,
Armenia,77.2,77.5,77.8,78.2,78.5,78.8,79.1,79.5,79.8,80.1,80.5,80.8,81.1,81.5,81.8,82.1,82.5,82.8,83.2,83.3,83.5,83.5,83.5
Antigua and Barbuda,,,,,,,,,,98,98,98,98,98,98,98,98,98,98,98,98,98,98
Austria,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,51,53.8,56.7,59.5,62.4,65.4,68.4,71.4,74.5,77.5,80.6,83.7,86.8,89.9,92.8,95.7,95.7,95.7,95.7,95.7,,,
Burundi,45.6,45.8,46,46.2,46.2,46.2,46.2,46.3,46.3,46.3,46.3,46.3,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4,46.4
Belgium,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5
Benin,2.22,2.48,2.76,3.04,3.33,3.64,3.96,4.29,4.63,4.98,5.35,5.72,6.11,6.51,6.92,7.34,7.78,8.22,8.68,9.15,9.63,9.63,9.63
Burkina Faso,2.02,2.02,2.78,3.53,4.27,5,5.73,6.45,7.17,7.87,8.57,9.27,9.95,10.6,11.3,12,12.6,13.3,13.9,14.6,15.2,15.9,16.6
Bangladesh,18.6,20.2,21.8,23.5,25.1,27,28.8,30.7,32.7,34.6,36.6,38.6,40.6,42.7,44.7,46.8,49,51.1,53.3,55.5,57.7,60,61.9
Bulgaria,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7,83.7
Bosnia and Herzegovina,92.6,92.5,92.5,92.4,92.4,92.4,92.3,92.3,92.3,92.3,92.2,92.2,92.2,92.2,92.1,92.1,92.1,92.1,92.1,,,,
Belarus,95.4,95.4,95.4,95.4,95.5,95.7,95.8,96,96.1,96.3,96.5,96.6,96.8,96.9,97.1,97.3,97.4,97.6,97.7,97.9,98,98.2,98.2
Belize,80,80.3,80.7,81,81.4,81.6,81.7,81.9,82.1,82.2,82.4,82.6,82.7,82.9,83,83.2,83.3,83.5,83.6,83.6,83.6,83.6,83.6
Bolivia,14,15.2,16.3,17.5,18.6,19.7,20.9,22.3,23.8,25.3,26.9,28.4,30,31.7,33.3,35,36.8,38.5,40.3,42.1,44,45.9,47.3
Brazil,36.5,37.8,39.1,40.5,41.8,43.1,44.4,45.7,47,48.4,49.7,51,52.3,53.6,55,56.3,57.6,58.9,60.2,61.6,62.9,64.2,64.2
Bhutan,38.4,38.4,40.5,42.5,44.6,46.6,48.7,50.7,52.8,54.8,56.8,58.8,60.7,62.7,64.7,66.7,68.7,70.6,72.6,74.6,76.5,78.5,78.5
Botswana,32.7,33.7,34.8,35.8,36.8,37.9,38.9,40,41.1,42.1,43.2,44.3,45.4,46.5,47.6,48.8,49.7,50.6,51.5,52.4,52.4,52.4,52.4
Central African Republic,9.36,9.36,9.36,9.36,9.35,9.14,8.93,8.71,8.5,8.29,8.07,7.86,7.65,7.43,7.22,7.01,6.8,6.58,6.37,6.16,5.95,5.74,5.74
Canada,99.4,99.4,99.4,99.4,99.4,99.3,99.3,99.2,99.2,99.2,99.1,99.1,99.1,99,99,99,98.9,98.9,98.9,98.8,98.8,98.8,98.8
Switzerland,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9
Chile,68.3,70.2,72.1,74.1,76,77.9,79.8,81.8,83.7,85.6,87.5,89.5,91.4,93.3,95.2,97.1,98.7,100,100,100,100,100,100
China,45.1,45.2,47.4,49.6,51.9,54.1,56.3,58.6,60.8,63.1,65.4,67.6,69.9,72.2,74.5,76.8,79,81.3,83.6,85.9,88.3,90.6,92.9
Cote d'Ivoire,7.32,7.8,8.29,8.77,9.25,9.86,10.5,11.1,11.8,12.4,13.1,13.8,14.5,15.2,15.9,16.7,17.4,18.2,18.9,19.7,20.5,21.1,21.7
Cameroon,24.5,24.3,24,23.9,23.8,23.7,23.6,23.5,23.4,23.3,23.2,23.1,22.9,22.8,22.7,22.6,22.4,22.3,22.1,22,21.8,21.7,21.7
"Congo, Dem. Rep.",23.8,23.2,22.6,22,21.4,20.8,20.2,19.5,18.8,18.2,17.5,16.9,16.2,15.6,14.9,14.3,13.7,13.1,12.4,11.8,11.2,11.2,11.2
